heart_rate,spo2,temperature,blood_pressure,tip
115.9,90.7,37.0,144/100,Low SpO2. Do deep breathing or go outside.
103.6,88.0,37.3,117/78,🚨 Emergency! Call for help.
68.7,96.6,37.2,129/77,All good. Stay healthy!
112.1,94.8,38.4,159/95,You are overheating. Rest and hydrate.
116.6,86.0,36.8,147/86,🚨 Emergency! Call for help.
115.4,85.7,38.7,137/87,🚨 Emergency! Call for help.
58.2,98.0,36.8,107/63,All good. Stay healthy!
56.4,92.8,38.8,102/62,Low SpO2. Do deep breathing or go outside.
112.9,95.3,37.8,141/96,Elevated heart rate. Take a walk or rest.
111.8,87.7,38.8,153/87,🚨 Emergency! Call for help.
125.3,96.2,38.0,147/85,You are overheating. Rest and hydrate.
58.1,94.7,37.3,100/69,All good. Stay healthy!
105.6,96.5,37.9,124/78,Elevated heart rate. Take a walk or rest.
82.4,89.7,35.9,124/76,🚨 Emergency! Call for help.
93.7,94.9,36.1,125/83,All good. Stay healthy!
74.4,89.1,38.2,118/83,🚨 Emergency! Call for help.
107.2,94.9,36.4,127/80,Elevated heart rate. Take a walk or rest.
118.7,88.2,38.4,144/86,🚨 Emergency! Call for help.
89.6,89.9,37.1,129/79,🚨 Emergency! Call for help.
77.5,87.4,36.6,117/85,🚨 Emergency! Call for help.
80.8,93.4,36.6,126/73,Low SpO2. Do deep breathing or go outside.
59.1,86.0,36.5,94/65,🚨 Emergency! Call for help.
117.3,95.1,37.9,138/95,Elevated heart rate. Take a walk or rest.
61.0,89.3,35.6,118/73,🚨 Emergency! Call for help.
82.9,90.1,36.6,124/77,Low SpO2. Do deep breathing or go outside.
87.0,86.9,38.1,113/77,🚨 Emergency! Call for help.
129.7,95.2,35.8,139/91,Elevated heart rate. Take a walk or rest.
91.2,88.3,38.0,113/74,🚨 Emergency! Call for help.
78.3,99.4,37.8,113/84,Slight fever. Drink water and avoid stress.
100.2,96.5,36.3,121/70,Elevated heart rate. Take a walk or rest.
88.2,97.5,38.8,120/80,Slight fever. Drink water and avoid stress.
86.2,95.4,38.1,126/78,Slight fever. Drink water and avoid stress.
77.3,85.6,37.2,122/74,🚨 Emergency! Call for help.
80.3,85.5,37.9,111/78,🚨 Emergency! Call for help.
123.8,85.5,36.3,139/86,🚨 Emergency! Call for help.
104.3,89.3,36.2,114/74,🚨 Emergency! Call for help.
113.6,85.4,35.7,140/92,🚨 Emergency! Call for help.
74.7,93.1,37.3,126/80,Low SpO2. Do deep breathing or go outside.
72.0,98.3,38.7,128/71,Slight fever. Drink water and avoid stress.
119.7,91.5,35.7,137/100,Low SpO2. Do deep breathing or go outside.
69.9,88.4,36.0,125/79,🚨 Emergency! Call for help.
69.0,89.1,38.8,119/80,🚨 Emergency! Call for help.
122.3,92.5,36.8,149/93,Low SpO2. Do deep breathing or go outside.
124.4,85.1,38.5,147/93,🚨 Emergency! Call for help.
57.0,88.8,35.7,101/67,🚨 Emergency! Call for help.
82.2,87.0,37.2,126/81,🚨 Emergency! Call for help.
100.0,87.6,38.4,122/75,🚨 Emergency! Call for help.
57.7,93.5,38.5,100/70,Low SpO2. Do deep breathing or go outside.
127.4,94.9,38.1,146/87,You are overheating. Rest and hydrate.
58.0,89.3,37.7,110/64,🚨 Emergency! Call for help.
66.4,90.0,37.7,110/71,Low SpO2. Do deep breathing or go outside.
94.5,95.1,38.5,120/71,Slight fever. Drink water and avoid stress.
66.8,93.0,37.6,114/80,Low SpO2. Do deep breathing or go outside.
114.5,91.4,37.3,135/95,Low SpO2. Do deep breathing or go outside.
60.6,91.5,36.9,119/83,Low SpO2. Do deep breathing or go outside.
111.2,86.0,38.2,136/97,🚨 Emergency! Call for help.
113.3,87.4,35.6,138/92,🚨 Emergency! Call for help.
69.2,91.9,35.9,122/78,Low SpO2. Do deep breathing or go outside.
115.6,90.3,36.6,157/87,Low SpO2. Do deep breathing or go outside.
75.9,97.9,37.8,115/81,Slight fever. Drink water and avoid stress.
79.0,87.4,37.5,121/75,🚨 Emergency! Call for help.
64.2,94.9,37.4,122/70,All good. Stay healthy!
115.3,92.7,38.4,158/86,You are overheating. Rest and hydrate.
85.7,91.8,37.4,127/85,Low SpO2. Do deep breathing or go outside.
88.9,89.0,36.1,113/82,🚨 Emergency! Call for help.
105.2,93.8,37.7,119/84,Low SpO2. Do deep breathing or go outside.
74.9,86.1,35.5,116/74,🚨 Emergency! Call for help.
102.7,96.0,38.4,124/73,You are overheating. Rest and hydrate.
116.2,90.2,36.1,137/97,Low SpO2. Do deep breathing or go outside.
114.5,86.7,38.2,144/86,🚨 Emergency! Call for help.
96.1,90.2,37.9,118/84,Low SpO2. Do deep breathing or go outside.
127.8,91.0,37.3,142/85,Low SpO2. Do deep breathing or go outside.
62.0,90.6,37.6,112/83,Low SpO2. Do deep breathing or go outside.
81.6,85.3,36.4,123/73,🚨 Emergency! Call for help.
66.0,91.3,39.0,120/75,Low SpO2. Do deep breathing or go outside.
106.7,99.9,36.4,121/72,Elevated heart rate. Take a walk or rest.
82.2,99.3,36.8,114/74,All good. Stay healthy!
85.4,93.6,38.4,125/72,Low SpO2. Do deep breathing or go outside.
93.1,85.4,36.9,128/85,🚨 Emergency! Call for help.
69.8,89.4,36.1,125/80,🚨 Emergency! Call for help.
108.4,90.1,37.2,120/79,Low SpO2. Do deep breathing or go outside.
109.1,87.5,37.8,118/73,🚨 Emergency! Call for help.
107.2,87.0,36.2,121/76,🚨 Emergency! Call for help.
125.9,88.1,38.7,136/94,🚨 Emergency! Call for help.
125.7,99.3,37.2,147/96,Elevated heart rate. Take a walk or rest.
109.7,93.0,37.3,130/71,Low SpO2. Do deep breathing or go outside.
66.5,87.6,35.9,128/85,🚨 Emergency! Call for help.
104.3,92.6,38.2,125/75,You are overheating. Rest and hydrate.
119.8,87.8,38.6,141/86,🚨 Emergency! Call for help.
83.3,98.4,35.8,116/85,All good. Stay healthy!
99.3,90.9,37.4,122/74,Low SpO2. Do deep breathing or go outside.
88.1,99.4,38.3,123/80,Slight fever. Drink water and avoid stress.
62.4,85.5,36.3,112/71,🚨 Emergency! Call for help.
96.3,88.5,37.3,118/84,🚨 Emergency! Call for help.
107.3,99.6,37.9,114/72,Elevated heart rate. Take a walk or rest.
90.0,89.5,35.9,130/75,🚨 Emergency! Call for help.
126.6,90.4,35.9,160/88,🚨 Emergency! Call for help.
98.9,88.8,35.9,128/83,🚨 Emergency! Call for help.
114.7,99.6,36.8,147/93,Elevated heart rate. Take a walk or rest.
111.3,91.8,36.0,155/95,Low SpO2. Do deep breathing or go outside.
98.0,94.9,38.9,130/81,Slight fever. Drink water and avoid stress.
129.9,87.5,38.5,150/98,🚨 Emergency! Call for help.
110.4,93.2,36.6,154/100,Low SpO2. Do deep breathing or go outside.
101.1,94.2,37.1,110/83,Elevated heart rate. Take a walk or rest.
67.9,96.4,35.6,110/79,All good. Stay healthy!
111.4,91.9,38.4,160/91,🚨 Emergency! Call for help.
122.9,85.8,38.7,150/100,🚨 Emergency! Call for help.
128.4,93.5,37.7,141/95,Low SpO2. Do deep breathing or go outside.
74.7,95.4,37.0,118/85,All good. Stay healthy!
121.7,90.3,36.6,155/96,Low SpO2. Do deep breathing or go outside.
78.0,95.8,36.7,114/72,All good. Stay healthy!
99.0,96.3,38.8,116/74,Slight fever. Drink water and avoid stress.
83.9,92.6,35.9,128/84,Low SpO2. Do deep breathing or go outside.
107.8,97.7,36.0,110/70,Elevated heart rate. Take a walk or rest.
119.8,96.8,38.9,152/86,You are overheating. Rest and hydrate.
80.4,87.4,38.9,119/78,🚨 Emergency! Call for help.
58.7,94.9,36.5,96/70,All good. Stay healthy!
78.0,88.3,35.9,118/72,🚨 Emergency! Call for help.
128.1,90.1,37.9,140/100,Low SpO2. Do deep breathing or go outside.
129.5,92.7,35.8,141/96,Low SpO2. Do deep breathing or go outside.
93.3,98.6,38.4,112/82,Slight fever. Drink water and avoid stress.
91.6,98.7,36.3,121/83,All good. Stay healthy!
122.1,86.6,38.7,136/99,🚨 Emergency! Call for help.
80.0,87.7,37.4,125/73,🚨 Emergency! Call for help.
84.3,90.5,37.4,128/73,Low SpO2. Do deep breathing or go outside.
82.0,95.3,38.8,129/81,Slight fever. Drink water and avoid stress.
64.7,85.6,39.0,114/80,🚨 Emergency! Call for help.
95.3,89.7,38.6,123/85,🚨 Emergency! Call for help.
110.3,97.3,38.4,136/99,You are overheating. Rest and hydrate.
56.8,96.5,38.3,107/60,Slight fever. Drink water and avoid stress.
83.7,96.1,35.5,123/72,All good. Stay healthy!
81.2,94.1,38.7,123/75,Slight fever. Drink water and avoid stress.
101.3,89.0,38.6,129/72,🚨 Emergency! Call for help.
84.0,88.4,36.7,130/74,🚨 Emergency! Call for help.
103.7,94.6,36.3,128/73,Elevated heart rate. Take a walk or rest.
104.3,95.0,38.6,125/85,You are overheating. Rest and hydrate.
97.4,92.0,35.9,121/76,Low SpO2. Do deep breathing or go outside.
123.6,94.1,36.0,143/96,Elevated heart rate. Take a walk or rest.
129.3,98.4,38.9,140/95,You are overheating. Rest and hydrate.
115.6,94.4,37.3,137/85,Elevated heart rate. Take a walk or rest.
109.2,96.8,38.6,120/73,You are overheating. Rest and hydrate.
